author,total_messages,total_words,avg_messages_per_day,avg_words_per_day
Shaquille Uniel,1,117,0.00273224043715847,0.319672131147541
Senator Miller (FT),24,216,0.06557377049180328,0.5901639344262295
Amb. Pluribus (D-LN),250,1314,0.6830601092896175,3.5901639344262297
Rep. Corn (D-LN-WI),124,537,0.33879781420765026,1.4672131147540983
Kyo,3,71,0.00819672131147541,0.19398907103825136
Hev,14,88,0.03825136612021858,0.24043715846994534
big T,10,90,0.0273224043715847,0.2459016393442623
Former Speaker Pickle Hersey,140,568,0.3825136612021858,1.5519125683060109
M1nT,1,2,0.00273224043715847,0.00546448087431694
Former Vice President Miller,3,43,0.00819672131147541,0.11748633879781421
Rep Mike Garcia (R-Los Angeles),78,738,0.21311475409836064,2.0163934426229506
Senator Ronald Ristley,5,56,0.01366120218579235,0.15300546448087432
Rep. Robyn Mayonaka (D-CA),1,1,0.00273224043715847,0.00273224043715847
Mr Kokka Bubbles (FDR build),5,46,0.01366120218579235,0.12568306010928962
dirtysocc,3,3,0.00819672131147541,0.00819672131147541
Viper Darius,1,3,0.00273224043715847,0.00819672131147541
JumpyJ,8,19,0.02185792349726776,0.05191256830601093
Gregory House,1,6,0.00273224043715847,0.01639344262295082
Rep. Marcus Reynolds,45,144,0.12295081967213115,0.39344262295081966
☠ 🩸 Lord Bloodshed [3.0],46,332,0.12568306010928962,0.907103825136612
president kyo (D),280,1751,0.7650273224043715,4.784153005464481
REDPILL,35,502,0.09562841530054644,1.3715846994535519
Yankee,1,1,0.00273224043715847,0.00273224043715847
NSA. Randolph L. Murdaugh (R-SC),3,46,0.00819672131147541,0.12568306010928962
John Goldfield (R-GA),27,416,0.07377049180327869,1.1366120218579234
john white ( ID - MO),2,4,0.00546448087431694,0.01092896174863388
Senator Quantum Kearsley (D-OL),1081,6276,2.953551912568306,17.147540983606557
Ehsan Ahmed,11,39,0.030054644808743168,0.10655737704918032
Cyrus,42,292,0.11475409836065574,0.7978142076502732
Ronan,2,41,0.00546448087431694,0.11202185792349727
Warren Rockefeller,6,49,0.01639344262295082,0.13387978142076504
Seth Sinclair (R-LN),4,6,0.01092896174863388,0.01639344262295082
Former President Joey,12,176,0.03278688524590164,0.4808743169398907
Kevin Lee (D-LN),5,156,0.01366120218579235,0.4262295081967213
𝙍𝙮𝙡𝙖𝙣,1,2,0.00273224043715847,0.00546448087431694
piwoace,4,47,0.01092896174863388,0.1284153005464481
Rep. Dr. Darth Vader (R),1,2,0.00273224043715847,0.00546448087431694
NEL_MAN 👑,2,76,0.00546448087431694,0.20765027322404372
LordOfWales,1,40,0.00273224043715847,0.1092896174863388
Travon Williams [R-SC],1,35,0.00273224043715847,0.09562841530054644
Armine,12,133,0.03278688524590164,0.3633879781420765
hoodfishing the stylebender,1,40,0.00273224043715847,0.1092896174863388
Rep. Rishi Sunak (D-GA),358,1368,0.9781420765027322,3.737704918032787
Space Nerd,4,45,0.01092896174863388,0.12295081967213115
Rep. Charlie Baker (R-OL),3,8,0.00819672131147541,0.02185792349726776
Zadhax,8,33,0.02185792349726776,0.09016393442622951
dogappreciator,4,9,0.01092896174863388,0.02459016393442623
Deb Lickington (PC),58,385,0.15846994535519127,1.0519125683060109
Nancy Pelosi,3,8,0.00819672131147541,0.02185792349726776
SULLIVAN 2.0 HELP,7,55,0.01912568306010929,0.15027322404371585
Virtual Congress,3,0,0.00819672131147541,0.0
"Commander in Cheese, DJT",19,26,0.05191256830601093,0.07103825136612021
Bucky,95,497,0.25956284153005466,1.3579234972677596
KING OF MAPLE SYRUP,6,32,0.01639344262295082,0.08743169398907104
Terence King (R-NY),1,1,0.00273224043715847,0.00273224043715847
Martin Stresemann Hensen _ R-OL,6,96,0.01639344262295082,0.26229508196721313
Rep. Ian Greenlaw (R-CT-OL),4,13,0.01092896174863388,0.03551912568306011
! 𝐋𝐚𝐧𝐚 𝐃𝐞𝐥 𝐑𝐞𝐲™,7,31,0.01912568306010929,0.08469945355191257
Head of IR and MC _ Empy,183,1223,0.5,3.341530054644809
Voidxsgamer1--Diplomat,9,26,0.02459016393442623,0.07103825136612021
Conrad Stonebanks,12,138,0.03278688524590164,0.3770491803278688
Rep. Rob Jetten (D-Pacifica),4,81,0.01092896174863388,0.22131147540983606
Rep. Ronald DeSantis (R-FL),5,41,0.01366120218579235,0.11202185792349727
Rep. Toby (D-CA-PC),3,6,0.00819672131147541,0.01639344262295082
Jean-Michel VDC (D-OL),2,42,0.00546448087431694,0.11475409836065574
Eric Moss,2,4,0.00546448087431694,0.01092896174863388
CG,28,122,0.07650273224043716,0.3333333333333333
Justice Alexa Rosen,6,46,0.01639344262295082,0.12568306010928962
LittleDragon,4,60,0.01092896174863388,0.16393442622950818
Iron Smith(I-PC),17,213,0.04644808743169399,0.5819672131147541
Electro_Sykes,3,24,0.00819672131147541,0.06557377049180328
Dua Lipa,71,321,0.19398907103825136,0.8770491803278688
fish,2,3,0.00546448087431694,0.00819672131147541
Rep. Mark Robinson (R-NC),2,1,0.00546448087431694,0.00273224043715847
𝐓𝐡𝐞 𝐄𝐨𝐧𝐢𝐚™,4,214,0.01092896174863388,0.5846994535519126
Daniel Egan (D-NV),63,172,0.1721311475409836,0.46994535519125685
.t54,16,86,0.04371584699453552,0.23497267759562843
